Designator,Comment,Footprint,MidX,MidY,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,23.1,-11.2,270,top
C2,10uF,C_0402_1005Metric,60.7,-59.2,270,top
C3,0.1uF,C_0402_1005Metric,59.6,-59.2,270,top
C4,1uF,C_0402_1005Metric,40.3,-20.8,270,top
C5,1uF,C_0402_1005Metric,35.3,-20.8,270,top
C6,1uF,C_0402_1005Metric,41.4,-5.65,90,top
C7,10uF,CP_EIA-3216-18_Kemet-A,25,-20.75,90,top
C8,0.1uF,C_0402_1005Metric,14.1,-33.95,0,top
C9,0.1uF,C_0402_1005Metric,30.4,-40.6,180,top
D1,MBR130HW,D_SOD-123,30.9,-21.95,270,top
D2,LED1,LED_0603_1608Metric,84.3,-36.4,180,top
D3,LED2,LED_0603_1608Metric,84.3,-33.3,180,top
D4,LED3,LED_0603_1608Metric,84.3,-30.3,180,top
J1, KH-TYPE-C-16P-T,USB_C_Receptacle_HRO_TYPE-C-31-M-12,3,-7,270,top
Q1,AO3415A,SOT-23,27.9,-22.1,180,top
Q2,SS8050,SOT-23,33,-5.1,270,top
Q3,SS8050,SOT-23,38.9,-5.1,270,top
Q4,MMBT3904-TP,SOT-23,24.65,-51.65,180,top
R1,5.1K,R_0402_1005Metric,10.39,-5.7,180,top
R2,10K,R_0402_1005Metric,25.5,-13.1,0,top
R3,5.1K,R_0402_1005Metric,10.4,-8.8,180,top
R4,10K,R_0402_1005Metric,41.4,-8,270,top
R5,100K,R_0402_1005Metric,27.1,-19.7,180,top
R6,10K,R_0402_1005Metric,34.1,-20.8,270,top
R7,1K,R_0402_1005Metric,45.7,-30.8,90,top
R8,1K,R_0402_1005Metric,46.8,-30.8,270,top
R9,10K,R_0402_1005Metric,66.3,-6.9,270,top
R10,10K,R_0402_1005Metric,40.3,-8,270,top
R11,10K,R_0402_1005Metric,67.4,-6.9,270,top
R12,10K,R_0402_1005Metric,68.5,-6.9,270,top
R13,10K,R_0402_1005Metric,35.4,-4.59,90,top
R14,10K,R_0402_1005Metric,69.6,-6.9,270,top
R15,10K,R_0402_1005Metric,70.7,-6.9,270,top
R16,10K,R_0402_1005Metric,71.8,-6.9,270,top
R17,10K,R_0402_1005Metric,72.9,-6.9,270,top
R18,10K,R_0402_1005Metric,74,-6.9,270,top
R19,10K,R_0402_1005Metric,36.01,-2.8,0,top
R20,10K,R_0402_1005Metric,21.6,-28.55,90,top
R21,10K,R_0402_1005Metric,21.6,-30.65,270,top
R22,10K,R_0402_1005Metric,22.7,-30.65,270,top
R23,47K,R_0402_1005Metric,22.05,-44.3,0,top
R24,10K,R_0402_1005Metric,28.3,-47.2,180,top
R25,220K,R_0402_1005Metric,28.3,-48.3,180,top
R26,470R,R_0402_1005Metric,81.4,-36.4,0,top
R27,470R,R_0402_1005Metric,81.4,-33.3,0,top
R28,470R,R_0402_1005Metric,81.39,-30.3,0,top
R29,10K,R_0402_1005Metric,10.4,-32.9,90,top
R30,120R,R_0402_1005Metric,10.4,-30.4,90,top
R31,150K,R_0402_1005Metric,22.05,-43.2,180,top
R32,22K,R_0402_1005Metric,24,-45.1,270,top
R33,10K,R_0402_1005Metric,10.4,-28.1,90,top
R34,4.7K,R_0402_1005Metric,27.25,-52.05,270,top
R35,1K,R_0402_1005Metric,33.9,-42.7,270,top
R36,1K,R_0402_1005Metric,35.8,-43.2,0,top
R37,2K,R_0402_1005Metric,35.8,-42.1,180,top
SW1,RESET,SW_SPST_B3U-1000P,44.6,-6.1,180,top
U1,ESP32-WROOM-32D,ESP32-WROOM-32,49.2,-51.75,180,top
U2,XC6220B331MR-G,SOT-23-5,37.8,-21.25,0,top
U3,CP2102-GMR,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,26.82,-9.38,0,top
U4,LM311DR,SOIC-8_3.9x4.9mm_P1.27mm,28.4,-43.9,0,top
U5,MAX3485CSA+T,SOIC-8_3.9x4.9mm_P1.27mm,17,-30.55,180,top
